No,Name,Overlook,Desc,U,D,N,S,W,E,Ini_Inventory,Hint,Buff,Buff_Desc,
1,Belial's Palace,"This is the living room of a supreme demon .A huge Gothic Palace,with a lot of lost souls patrolling around.","This is the citadal of  Archdemon Beliel, who hired you to look for at least his new bride.",2,0,0,0,0,0,3,0,1 100,You restore your HP by 100 points,
2,CU Library,A 5-floor building.,A lot of students study here and is also a good place to sleep in the 5th floor.,19,1,10,0,0,6,4,0,2 100,You restore your SAN by 100 points,
3,TD Arena,Looks like a huge white egg.,A gym and also a good place to play basketball.,0,25,5,9,0,0,5,0,0,0,
4,Rideau Center,Looks like only two floors and hides more  space under the ground.,"
Like an awful maze.You can never find out want you need.When you are in in your compass will be out of order.",22,23,0,5,0,0,6,0,0,0,
5,Hurdman Village,Four roads join here.,The centre of the world.Bazinga!,0,18,4,3,8,0,7,0,0,0,
6,Canal Riverside,near a river and has a little island in middle of the river.,a place you may feel very peaceful when you walk along the river.,21,0,0,0,2,8,8,0,0,0,
7,Airport,An Airport.,Just an Airport.So boring.,15,0,8,11,0,0,9,0,0,0,
8,Billings Bridge,"Not a real bridge, just is a ordinary supermarket.",A good place for shopping.You like the Walmart here.,20,0,0,7,6,5,10,0,0,0,
9, Maple Valley,A peace valley far from the city.,I can not make it up.There is nothing but red Maple leaves all the year. Nobody knows how it happens.,12,24,3,0,0,0,11,0,0,0,
10,Algonquin Hill,A hill?I can not see any hill at all!,You guess nothing will happen here.,17,0,0,2,0,0,12,0,1 20,You restore your HP by 20 points,
11,Ontario Lake,a big lake.,May be just a big lake.,16,14,7,0,0,0,13,0,2 20,You restore your SAN by 20 points,
12,Apple tree garden,A big garden is filled with apple trees and neither tree has an apple on it.,Seems a golden apple tree garden without any apples.,0,9,0,0,16,0,14,0,1 10,You restore your SAN by 10 points,
13,Heaven Gate,Aenomous bright  gate.You can see beautiful sculoture on it surface.,It is too ennomous to go to its back.You wonder what is in the gate but you can not open it.,0,0,0,20,17,22,15,0,0,0,
14,Avalon,an island surrounding by a beautiful lake,"You gonna to the island. The lake is shallow.But no mater how far you have walked,the distance between you and the island never change a cenimeter.",11,0,0,0,0,24,16,0,0,0,
15,Yggdrasill,A huge tree you have never seen.And a lot of snakes fall down from the tree.,Just a tall tree and a home of lot of snake.,0,7,20,0,0,0,17,0,0,0,
16,"Atlantis
","A moden city under water but you can not see any other people,you are not good at swiming! Good luck!",A test for your swimming skill. You find a lot of bottles in the sea area.,0,11,0,0,0,12,18,0,0,0,
17,Shangri-la,A beautiful forest.,"You can not run fast here.If you run, you will not breath any more.",0,10,0,19,0,13,19,0,0,0,
18,Wordor,You can see an red eye flows on a black mountain.,The mountain is so high to get to the top.,5,0,0,25,0,0,20,0,0,0,
19,Hogmarts,A big magical castle.,You can not get in to the catle.You can only see a lot of besoms fly in the sky.,0,2,17,0,0,0,21,0,0,0,
20,Bifrost,"
A real rainbow bridge.You can see anything under the bridge",A bridge is just between tow place.,0,8,13,15,21,0,22,0,0,0,
21,Giza desert,A huge desert you can not find out its boundary.You can also see the pyrmids which is far away from you.,Check you bag to make sure you have enough water! ,0,6,0,0,0,20,23,0,1 -10,You lose your SAN by 20 points,
22,Scarborough Fair,A crowd fair.,"You can get water,food and flower here. ",0,4,0,0,13,0,24,0,0,0,
23,Labyrinthos of Minotaur,A maze made by plants.,"You like mazes,so you want to find what is in the millde of the maze. Good luck.",4,0,0,0,0,0,25,0,0,0,
24,Black forest,Here is always at night.You can see some animals eyes hide behind trees.,Be careful with your weapons. Do you like puppies?Good luck.,9,0,25,0,14,0,26,0,0,0,
25,Iceclown Castle,A castle is in a mountain and totally built by ice. ,"Feetprints along the stairs of the palace. Although you feel very cold,  weird laughter comes from the deep dark from time to time, and you are sure someone lives there.",3,0,18,24,0,0,27,0,2 -10,You lose your SAN by 20 points,
